,url,price,locali,superficie,bagni,piano
9269,https://www.immobiliare.it/61481870-Vendita-Bilocale-via-Salvo-Randone-14-Roma.html,225000,2,55.0,1.0,2.0
9270,https://www.immobiliare.it/60359354-Vendita-Trilocale-via-Fiume-Bianco-Roma.html,269000,3,70.0,1.0,7.0
9271,https://www.immobiliare.it/69937112-Vendita-Bilocale-via-Andrea-Baldi-Roma.html,260000,2,50.0,1.0,1.0
9272,https://www.immobiliare.it/68589665-Vendita-Trilocale-via-Corchiano-Roma.html,259000,3,100.0,1.0,1.0
9273,https://www.immobiliare.it/66550979-Vendita-Appartamento-via-nicola-da-guardiagrele-Roma.html,299000,5,150.0,2.0,1.0
9274,https://www.immobiliare.it/70278648-Vendita-Trilocale-via-Francesco-Massi-Roma.html,339000,3,80.0,1.0,3.0
9275,https://www.immobiliare.it/68226115-Vendita-Monolocale-via-del-corso-Roma.html,580000,1,45.0,1.0,3.0
9276,https://www.immobiliare.it/66542935-Vendita-Bilocale-piazza-BERNARDO-ZAMAGNA-Roma.html,155000,2,50.0,1.0,0.0
9277,https://www.immobiliare.it/69711770-Vendita-Bilocale-viale-Alessandrino-327-Roma.html,189000,2,65.0,1.0,3.0
9278,https://www.immobiliare.it/67095913-Vendita-Quadrilocale-via-di-Dragoncello-477-Roma.html,228000,4,123.0,2.0,5.0
9279,https://www.immobiliare.it/66275153-Vendita-Appartamento-via-Thailandia-Roma.html,550000,5,120.0,2.0,0.0
9280,https://www.immobiliare.it/66178673-Vendita-Quadrilocale-via-Luigi-Arbib-Pascucci-Roma.html,470000,4,123.0,2.0,2.0
9281,https://www.immobiliare.it/70178204-Vendita-Trilocale-via-Peveragno-80-Roma.html,275000,3,80.0,1.0,4.0
9282,https://www.immobiliare.it/67929525-Vendita-Trilocale-via-Candelo-Roma.html,210000,3,75.0,1.0,1.0
9283,https://www.immobiliare.it/65944541-Vendita-Trilocale-via-Manoppello-78-Roma.html,137000,3,80.0,1.0,0.0
9284,https://www.immobiliare.it/69886084-Vendita-Bilocale-via-MARRUCINI-Roma.html,205000,2,40.0,1.0,0.0
9285,https://www.immobiliare.it/69033077-Vendita-Bilocale-via-del-Crocifisso-11-Roma.html,310000,2,68.0,1.0,2.0
9286,https://www.immobiliare.it/62886508-Vendita-Trilocale-via-Rocca-Antica-Roma.html,279000,3,120.0,2.0,0.0
9287,https://www.immobiliare.it/62041608-Vendita-Bilocale-via-Robert-Musil-Roma.html,310000,2,58.0,1.0,2.0
9288,https://www.immobiliare.it/67413959-Vendita-Appartamento-via-Torbole-Roma.html,590000,6,180.0,3.0,2.0
9289,https://www.immobiliare.it/64589342-Vendita-Bilocale-via-Archimede-Roma.html,325000,2,54.0,2.0,0.0
9290,https://www.immobiliare.it/62036222-Vendita-Appartamento-via-Romeo-Rodriguez-Pereira-Roma.html,530000,5,140.0,2.0,2.0
9291,https://www.immobiliare.it/69871456-Vendita-Attico-Mansarda-via-dei-Gonzaga-Roma.html,320000,3,94.0,1.0,12.0
9292,https://www.immobiliare.it/68366325-Vendita-Trilocale-via-Cardinal-Mistrangelo-Roma.html,420000,3,114.0,1.0,2.0
9293,https://www.immobiliare.it/65406988-Vendita-Bilocale-via-Francesco-Miceli-Picardi-Roma.html,215000,2,80.0,1.0,0.0
9294,https://www.immobiliare.it/60657156-Vendita-Quadrilocale-via-Mar-della-Cina-Roma.html,399000,4,140.0,2.0,7.0
9295,https://www.immobiliare.it/69754020-Vendita-Attico-Mansarda-via-Cassia-Roma.html,680000,3,124.0,2.0,12.0
9296,https://www.immobiliare.it/69185916-Vendita-Trilocale-via-Romeo-Rodriguez-Pereira-Roma.html,369000,3,80.0,1.0,2.0
9297,https://www.immobiliare.it/68815729-Vendita-Bilocale-via-Giovanni-battista-valente-Roma.html,235000,2,85.0,1.0,0.5
9298,https://www.immobiliare.it/67577009-Vendita-Bilocale-via-Cornelia-Roma.html,89000,2,50.0,1.0,1.0
9299,https://www.immobiliare.it/70174400-Vendita-Bilocale-via-Tonale-30-Roma.html,155000,2,70.0,1.0,5.0
9300,https://www.immobiliare.it/69329524-Vendita-Quadrilocale-via-Cassia-Roma.html,420000,4,130.0,2.0,2.0
9302,https://www.immobiliare.it/68815161-Vendita-Trilocale-via-Alberto-Litta-Modignani-Roma.html,190000,3,65.0,1.0,1.0
9303,https://www.immobiliare.it/67599579-Vendita-Quadrilocale-via-Santa-Gemma-Roma.html,280000,4,112.0,1.0,0.0
9304,https://www.immobiliare.it/67092691-Vendita-Trilocale-via-Guardiagrele-10-Roma.html,128000,3,70.0,1.0,12.0
9305,https://www.immobiliare.it/63684358-Vendita-Trilocale-via-Tuscolana-801-Roma.html,249000,3,80.0,1.0,5.0
